Response ID,essential_software_reco
2,"R, STATA, Python, Winedt, Office 365"
3,"Matlab, Stata, Mathematica, Arcgis, Spss,Chrome"
4,"TekMaker,R,Matlab,Python,Gurobi"
6,"Python, Stata, r, matlab, windows office"
7,Python
10,"StatTransfer, Stata, R, Windows Package, Word, Excel, PPoint, GDrive, Dropbox, Zoom"
11,"Microsoft Office, Overleaf, Dropbox, R, Python, Adobe"
12,"R, Python, SAS, Stata, Excel"
13,"LaTeX, python, VSCode, Zotero.
MS Word, MS Outlook, MS Teams,Firefox"
15,"Rstudio, python, putty, winscp, mailbox, overleaf, plmlatex, texmaker, word, excel, power point, notepad++, git, dropbox"
16,"Stata,Python,JupyterLab,Julia,Matlab,Mathematica,Zotero"
18,"Stata,Matlab,R,Julia,MikTex,Latex,Acrobat"
20,"Claude,GPT 4"
21,"matlab, stata, "
23,"R, overleaf, notepad++"
25,"R, Python, LaTeX, Dropbox, Drive"
26,"Stata, RStudio, Matlab, Python,Zotero,Dropbox (pro),Overleaf (pro),Chatgpt"
29,"Anaconda, VisualStudio Code, Stata, Overleaf,  ..."
30,"Stata, Matlab, Excel, outlook, Python, Anaconda"
31,"Microsoft Office, Matlab, Overleaf, Dropbox, Stata"
32,"Matlab, Stata, Python, Spyder"
33,"Matlab, Mathematica, Python, R"
34,"Stata, Microsoft Word, Endnote, Dropbox, Overleaf, R, RStudio, Zoom"
36,"Stata, R, RStudio, Mathematica, QGIS"
40,Latex
41,"R, Python, DBeaver, Docker, LaTeX, Teams, Overleaf, Dropbox, Github, Zotero, ChatGPT"
43,"Matlab, Dynare, WinEdt"
44,"MiKTeX, TeXworks, Anaconda, Jupyter, Python,R, Rstudio, Limesurvey, MS Office pack"
45,"Matlab, Stata, Stat-Transfer, Overleaf, WinEDT, Latex, Scientific Word/Workplace, Python, Mathematica, Geogebra, IPE"
46,"Matlab, python, jupyter, onyxia, stata, github, acrobat"
47,"r, rstudio, python, jupyter notebooks, zotero, sublime text, pandoc, latex, zoom, dropbox, keepass, evolution, thunderbird"
48,"WinEdt, Latex, Matlab, R, Dropbox, Zoom, Python, Acrobat, Office, "
51,"R, python, Julia, LaTeX, web navigator, LibreOffice, Adobe reader, seafile client, RStudio"
52,"jupyter, vs code, R studio, anaconda, microsoft office"
53,"Stata, R, Matlab, Dropbox, Google Drive, Inkscape, Teams, Zoom, PuttY, WinSCP, Github"
54,"Stata, R, WinEdt, Windows Office, Abby, Adobe,Dropbox"
56,"Stata, Jupyter"
59,Software for printing files at CREST from my laptop and a remote desktop. 
60,"casd box, sql, R, stata"
61,"R, Dropbox, Excel, Stata, Git, Zotero"
64,"Stata, SAS"
66,"R, Python, Stata, VisualStudio "
69,"Python, gurobi, jupyter, Latex, overleaf , ChatGPT, Teams , Zoom;, Word, Excel, Powerpoint, Outlook, Google suite, Dropbox"
70,"R, Python, Julia, Stata, LaTeX, Matlab"
71,"Dropbox, Acrobat"
72,"Stata, R, SAS, Qgis, Matlab, Dropbox"
73,"RStudio"
74,"Stata, Matlab, Latex, Microsoft, R"
75,"Stata, R, Rstudio, TeXStudio"
76,"GEPHI, dropbox, google drive, overleaf, zoom , chatGPT , Claude  "
77,"GitHub, Stata, Matlab, Anaconda , Python, GIS, OneDrive"
78,"Stata, R, Microsoft"
80,"R studio, R, Quantum GIS, Zotero, Inkscape, Libre Office, box.com"
81,"Python, Matlab, VS Code, Latex, Overleaf, Scientific Word, Dropbox, Microsoft Office, Teams, Zoom, Remote Desktop"
82,"Latex, python, VSCode, Chrome"
83,"Latex, Stata, Microsoft Office, Dropbox"
87,"R, Stata, Pack Office, SAS"
90,"RStudio, R, Stata, PyCharm"
92,"Matlab, Stata, Excel."
94,"STATA, R, R Studio, QGIS, MikTex, Texmaker"
97,"Zoom, Zotero, Google Scholar, R, R studio, Python, Qualtrics, Stata, N Vivo, ArcGIS, QGIS, Google Drive, GPT"
98,"Python"
99,"Gauss, SAS, Python, R, Arcgis, LateX"
100,"R, latex, texstudio, winedt, overleaf, deepL, ChatGPT "
101,"Latex, Texmaker, R, Rstudio, Outlook, Edge, Firefox"
103,"LaTeX, WinEdt, Mathematica, Stata, Acrobatpro, office, "
105,"miktex, mathematica, stata, texStudio, overleaf"
107,"Overleaf, office, R, Python, Stata."
