0,reco
Response ID,
Date submitted,
Last page,
Start language,
Seed,
Date started,
Date last action,
Where do you work ? ,place
What is your status ?,status
What is your status ? [Other],status_other
What is your field of activity ?,field
What is your field of activity ? [Other],field_other
For how long have you been at  CREST ? ,time_at_crest
Which physical computer(s) do you use on a daily basis (even as a terminal to access other services) ?  [Desktop computer in your office],computer_desktop
Which physical computer(s) do you use on a daily basis (even as a terminal to access other services) ?  [Work laptop from CREST/research fundings],computer_laptop
Which physical computer(s) do you use on a daily basis (even as a terminal to access other services) ?  [Personal laptop and/or computer],computer_personal
Which Operating System (OS) do you use ?  [Windows],os_windows
Which Operating System (OS) do you use ?  [MacOS],os_mac
Which Operating System (OS) do you use ?  [Unix/linux],os_unix
Which Operating System (OS) do you use ?  [Other],os_other
Do you still need a dedicated workstation (desktop computer) in your CREST office in the future ?   (IT is planning to progressively remove old desktop computers) ,dedicated_desktop
"Could you list the essential software tools required for your research activities, without which you would be unable to work? ",essential_software
Are you using specific software installed by the GENES (except office software such as Word or Excel) ,specific_genes_software
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Acrobat Pro]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Anaconda/Python]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [ArcGis]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Asymptote]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [CodeblocksEviews]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Dropbox]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [eViews]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Gauss]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [GCC]",
"Among the software offer by the GENES (installed specifically on the computers), which ones do you use?  There are many software programs; only answer for those you are using  This question is important since the IT team will deactivate unused softwares  [Git CMD]",
